"","ID","ID.Parc","Adresse.Complete","Type","Latitude","Longitude","Adresse.Rue","Adresse.Ville","Adresse.Province","Adresse.Postal"
"488","CE-FC-009","First Capital - Carrefour du Versant Ouest","1500 boul. Gréber, Gatineau, QC, J8R 0E1","Level2",45.503821,-75.678098,"1500 boul. Gréber","Gatineau","QC","J8R 0E1"
"489","CEA-10189","Sur rue - Ville-Marie - rue St-Antoine","115 rue St-Antoine Ouest, Montréal, QC, H2Z 1X8","Level2",45.505622,-73.55845,"115 rue St-Antoine Ouest","Montréal","QC","H2Z 1X8"
"490","CEA-091","St-Laurent - Ateliers municipaux","13 001 boulevard Cavendish, Montréal, QC, H4R 2G5","Level2",45.506203,-73.71137,"13 001 boulevard Cavendish","Montréal","QC","H4R 2G5"
"491","CEA-011","Municipalité de Ste-Sophie","2199 boul. Ste-Sophie, Ste-Sophie, QC, J5J 2P6","Level2",45.81920914,-73.89739819,"2199 boul. Ste-Sophie","Ste-Sophie","QC","J5J 2P6"
"492","CEC-00018","BRCC - Ville de Val d'Or","855 2e Ave, Val d'Or, QC, J9P 4P4","FastDC",48.10188,-77.789386,"855 2e Ave","Val d'Or","QC","J9P 4P4"
"493","CEA-10061","St-Hubert - Arthabaska","609 Boul. des Bois Francs Sud, Victoriaville, QC, G6P 5X1","Level2",46.04778346,-71.93346539,"609 Boul. des Bois Francs Sud","Victoriaville","QC","G6P 5X1"
"494","CEA-10105","St-Hubert - Fabreville","3825 boul. Dagenais Ouest, Laval, QC, H7P 5R8","Level2",45.571346,-73.82159,"3825 boul. Dagenais Ouest","Laval","QC","H7P 5R8"
"495","CE-PDA-001","Place des Arts","1450 rue St-Urbain, Montréal, QC, H5B 1E4","Level2",45.5091629,-73.56590271,"1450 rue St-Urbain","Montréal","QC","H5B 1E4"
"496","CEA-10214","Coaticook - Parc de la Gorge","400 Rue Saint Marc, Coaticook, QC, J1A 2R9","Level2",45.1453,-71.79749,"400 Rue Saint Marc","Coaticook","QC","J1A 2R9"
"497","CEA-144","Stade de Soccer de Montréal","9235 Avenue Papineau, Montréal, QC, H2M 2G5","Level2",45.562243,-73.63818,"9235 Avenue Papineau","Montréal","QC","H2M 2G5"
